_id,작성자,별점 점수,리뷰내용
658a9827c41002f5926ed08c,신상훈남,4.0,빨리감기로 보여줘도 모자랄 판에 판을 치는 슬로우모션\n언제부터 잭 스나이더가 그래픽 없이는 그저 그런 감독이 되어버린 건지.
658a982ac41002f5926ed08d,주 혜,2.5,"오랫동안 푹 고았다는 건 알겠는데, 간이 하나도 안 맞아요..!"
658a982dc41002f5926ed08e,Dh,2.0,더 나은 세상을 위해 참으로 애쓴다\n#독보적 엉성함\n#두나 배우님 지못미..
658a9835c41002f5926ed08f,박화영+,2.5,이제 이 장르는 어떻게 만들어도 근본 아니면 잡탕이다.
658a9835c41002f5926ed090,윤제아빠,1.0,구조가 심각한 건축물은\n허물고 새로짓는게 맞다\n.\n.\n#곪아터진속을끌어안고\n#밤새분칠을하고싶을까\n#이해도응원도못하겠다\n#갓쓴다고갓작이아니다\n#넷플릭스아직돈많구나
658a9835c41002f5926ed091,김호진 펠릭스,1.5,세계관이 너무 얕아서 개미도 발목만 겨우 적시고 가겠다\n- 슬로 모션 포비아 걸리겠네\n- 잭 스나이더랑 마더란 단어는 진짜 믿고 거르는 조합
658a9835c41002f5926ed092,다솜땅,3.5,"사실의 전쟁이 조금 섭섭한 면이 있지만 이 거대한 전쟁, 거대한 반란의 주역에 몇명의 사람만 있다는게... 아쉽다.  그러나, 스케일 큰 그래픽, 스토리, 배우들.. 맘에 든다 ㅎ\n역시 윗대가리들만 사라지면 작은 가지는 자동적으로 없어지지!!\n다음은 누구차례일지 뻔하지만, 기대가 된다 ㅎ\n#23.12.22 (744)"
658a9835c41002f5926ed093,Jay Oh,2.0,"뻔뻔할 정도로 모든 게 단순하다.\n스타워즈가 그냥 나온 건 아닐텐데.\nSorry, this was basic to the point of barely being a nothingburger."
658a9835c41002f5926ed094,BIGMAC_bro,3.0,"하도 평가가 박해서 감안하고 보았는데,\n내려놓고 봐서 그런가 예상보단 괜찮았음.\n\n잭 스나이더 특유의 영상미나 SF 컨셉아트웍을\n보는 듯한 씬들은 좋았는데, 그게 끝…\n\n이렇게 개성 넘치는 캐릭터들이 많은데,\n파티원으로 영입할때 빼곤 대사도 별로 없을 정도로\n구색으로 쓸거면 뭐하러 영화로 만들었나…\n차라리 드라마로 늘려서 길게 가지.\n\n어이가 없을 정도로 영화가 어물쩡 저물쩡\n흘러가다가 1부가 끝남.\n\n나름 <듄>을 보고 뭐 멋진 스페이스 오페라를\n하나 만들어보고 싶었나…\n\n적어도 원피스 처럼 파티원 서사에도 신경썼으면\n몰입하기에 좋았을텐데. 아쉬운 작품."
658a9835c41002f5926ed095,D.K.o.V,2.5,클리프행어의 묘미와 임무를 전혀 착실히 수행하지 못해 흥미를 되려 떨어뜨린다.
